year,Alaska,Arizona,Alabama,Arkansas,Connecticut,Colorado,California,Georgia,Florida,Delaware,Illinois,Idaho,Hawaii,Kansas,Iowa,Indiana,Kentucky,Louisiana,Maine,Massachusetts,Maryland,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,North Carolina,North Dakota,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,Wisconsin,West Virginia,Wyoming
1997,42262.3,168550.5,143646.1,82755.5,190791.1,184192.9,1378653.7,328994.5,560887.8,45230.7,577803.7,37014.7,55678.7,104770.3,113365.3,232246.7,146958.5,201830.1,43034.8,302806.1,221183.8,397339.2,211942.2,83197.1,228292.6,29169.4,70721.8,48425.1,426187.4,67446.3,90367.6,316366.3,22410.8,976939.6,471885.5,115413.5,118539.2,495813.9,40158.5,134908,24976.1,210843.8,872763.1,80682.5,20026.1,301623.2,271601.3,209256.6,59236.5,25239.5
1998,41157.3,183138.4,148596.4,84794.5,196247.7,201076.3,1470393,352712.9,590134.8,49742.7,595833.3,38790.6,54360.3,108507.8,114230.2,246380,151550.7,208683.1,44232.8,314880.2,231830.8,406292.8,222970.6,85332.7,232074.2,30465.6,72310.4,51603.1,433778.7,67087.2,94946.7,326225.4,23681.6,996663.2,487904.2,117867.2,124170.8,508483.9,41788.5,140139.3,26452.1,223768.9,928374.4,85719.7,20697,317196.5,289102,217254,60164.8,25840.7
1999,40721.7,198095.9,154093.6,89317.1,202229.6,216300.2,1582377.4,377607.5,616625.2,53861.8,617314.9,42496.1,55182.2,111200.9,116662.5,254488.7,156261,212954.9,46393.1,331704.6,240910,429356.2,230684.1,87646.7,238360.9,30598.1,73883.7,53058.4,448808.1,70715.9,101276.5,344425.2,23704.9,1048059.2,499060.3,119724.8,126883.5,523565.3,43175.7,146525.5,27500.8,230417.5,965676.6,89269.9,21843.4,332145.9,310331.7,226298,62170.2,26822.4
2000,39516.9,207793.3,156559.9,90206.3,216370,232752,1709938.7,393195.1,642692.9,56109,641749.2,47324.5,56417.2,113971.7,122158.8,263693.4,152118.1,206684.8,48523.6,359520.8,250982,438277,245982.4,88143,246048.8,31375.1,76623.4,56719.9,473035,71956.4,105343.7,354846.4,24598.2,1088004.8,508991.7,124110.5,137802,537224,45246.1,150501.3,29406.8,233152.7,998296.5,92507.5,23022.5,346160.5,312230.4,233084.8,62051.5,27708.2
2001,40973.8,212656.2,156403.9,89922.7,220287.4,236382.6,1702775.7,396875.1,658640,58881.6,644181.3,46062.2,56019.3,113853.3,120668.6,258661.2,151920.8,209045.6,49419.4,362434.1,260775.5,423623.6,246058,87200.2,244407,31650.5,78258,57432.7,476507.7,72052.6,106656.8,361354.5,25017.3,1112238.7,501815.4,128721.1,136687.5,544790.8,45917.5,151105.2,29746.2,232723.2,1021889,93886.6,23713.5,358518.5,305054.8,236113,62016.8,29240.7
2002,42881,219311.3,160870.1,92884.9,219959.4,236785.5,1743650.6,400091.8,685304,56814,647867.5,47208,57911.8,115552.1,124096.7,265106,155676.4,213145.8,50633,364797.1,270884.7,435250.4,252414.3,88124.5,246813.1,32526.8,79665.3,59040.7,487050.2,74274.7,110020.4,366035.1,26370.3,1102140.1,514752,131078.3,139698.1,550247,47611.1,154698,32958.4,240522.4,1041811,95693.3,24455.4,362261.5,310338.1,240995.6,62805.3,29875.5
2003,42150.5,233342,164991.9,96544.8,222240.4,238539.8,1825424,410587.6,715436.1,57957.3,655834.7,48535.8,60838.1,117477.8,129316.4,275194.4,159179.8,221239.9,51728.5,373814.3,277950.2,443794.7,263868.9,91715.1,251788.1,33842.9,84119.5,61610.3,499694.9,77132.1,115571,374503.2,27993.9,1104937.1,522648.9,133084.3,145584.9,562435.7,49374.3,160138.4,33657.3,247823.7,1048298.6,97648.8,25301.3,376113.7,316224.1,247867,62839.1,30612.3
2004,43735.3,243246,175508.4,101210.2,237132.6,240797.5,1902318.8,429313.5,757054.1,60682.3,673262.4,51241.4,64928.3,117882.5,139748.6,284656.3,163436.2,231601.7,53529.7,383486.9,292115.3,444198.2,274712.9,93651,257258.6,35374.9,86081.5,63499,507585.4,82842.9,128884.5,388699.7,28266.6,1132504.2,534358.7,137435.8,152797.8,578033.8,51583.2,162237.9,35071.4,259337.3,1102696.3,102724.6,26564.3,393446.1,322003.4,256002.6,63721.4,31529.7
2005,45051.6,263061,181385.9,104653.3,242485.4,250839.6,1990140.8,445533.2,806338.6,59973.5,685896.7,55387.1,68565.5,122257.8,143876.3,285491.9,168805.2,245523.1,53612.5,390792.3,305993.3,450745.9,282094,95228,261530.1,37077.1,88893.9,64356.4,513498.7,83825,139694.9,407491.4,29106.8,1171051,543744.7,143072.5,158462.8,588054.9,52316.3,166573.9,35907.3,264652.2,1132796.1,109145.6,26909.4,415086.9,343362,262160.8,65548.9,33120.8
2006,48517.1,277288.3,184796.4,106940,251581.3,256124.3,2072177,450584.1,834345.9,61496.8,704494.5,57589.6,70402.9,128899.2,145887.2,291269.1,173336.6,243332.4,54270.2,397742.6,311680.2,443308.3,281970.3,97748.3,263233.2,38431.3,91387.2,65945,524056.2,85890.7,145209.4,432588.9,30261.5,1199903.8,541179.6,152659,167912.2,592030.3,53518.2,170339,36459,271464.6,1210286.8,118720.6,27132.4,423737.5,356691.2,266471.3,66435.4,37526.7
2007,51114,284907,185868.8,106155.3,261129.1,264577,2103618.2,453061.4,835867.1,61235.1,712709.8,58703.1,71191.7,135667.2,152251.2,299422.9,171869.3,234620.4,54001.4,407973.8,312093.4,441148.5,283211.5,100204,264382,40378.8,93387.5,65697.9,526814.4,86511.1,144404.8,436437.2,31667.5,1202725.8,541411.2,155464.7,171113.5,612017.6,52087.4,175090.1,38057.4,268755.6,1274302.5,124497.7,26801.5,427001,378205.1,267936.1,66522.1,40334.9
2008,50884,277477.1,185297.9,105791,259721.9,267713.2,2111138,443416,803217.9,58656.4,699429.5,59703.9,71689.3,138657.9,149131.9,298263.8,172150.8,235276.2,53921,412600.5,315858.9,416701.8,285792.2,104386.2,270608.3,40161.5,93569.3,65016.8,533053.7,85976.8,138863.3,446920.3,34154.6,1175470.9,537199.7,161361.4,173955.1,623821.3,50447.1,174584.2,39643.2,272011.3,1275773.6,123483.3,27437.2,425803.5,382380.5,264632.1,67888.3,42632.5
2009,55837.6,255080.7,178021.4,102528.1,248040.6,262379.8,2026486.9,426263.8,758264.1,60404.2,682965.6,57087.5,69094.8,133276.7,145618.3,277473.9,165014.9,238666.1,53063.6,408061.8,314862.8,380091.2,275453.1,99463,265310.1,39337.4,94050,64449.6,511149.6,87667.4,127242.4,427107.8,35043.2,1223229.4,509215.7,159235.6,166653.2,605496.7,50213.6,166849.7,39731.9,263015.5,1271435.8,120791.6,26996.6,425583.3,372728.4,257142.6,67564.9,41385.4
2010,54151.4,257484.7,182262.7,105922.5,247460.8,264791.1,2058137.9,433027.3,766199.2,60016.1,694961.1,57906.7,71006.5,134944.6,149535.6,295133.2,172044.7,247350.9,53776.2,424581.3,327234.5,400941.4,284863.9,99983.6,269735,40543.8,97856.7,66441.5,516589.3,87004.1,128827.2,433404.3,37696.5,1269486.5,521094.7,159226.5,169015.8,622466.7,51467.5,170166.5,40129.8,266727.2,1301726.7,123330.1,28111,437267.8,381253.4,264841.1,68443.6,39801.4
2011,54645.7,263211.1,185054.8,108295.4,242019.5,268680.8,2091586,439890.5,763745.9,62017.4,707059.5,57796.7,72080.2,138562.6,151247.9,296472,174136,234062.7,53087.8,434723.5,334306.6,411465.7,290630.4,98727.7,266725.8,41473.1,102332.7,66840.1,510928.5,87166.3,129733.5,439088.5,41942.3,1269244.9,538703.3,165153,173883.1,631371.8,51269.1,174127.9,42793.5,274803.6,1343790.9,127060,28733.3,441608.8,387832.4,270372.5,69658,39395.5
2012,57670.1,268288.8,186299,108745.2,243801,273519.5,2144497.3,444132.2,769309.1,61975.8,720702.3,57764.4,73582.7,140477.8,157250.8,297552.7,176302.3,233623.1,52874,444329.8,334821.6,418857.4,294296.6,99614.6,268761.5,42005.8,102269,67689.2,519745.8,87601.6,128043,439571,51345.1,1322447.9,540819.3,173483.7,174493.1,641317.3,51642,175374.8,43444.6,283721.8,1411378.7,128721,28887.4,444950,400863.3,274343.9,69399,38431.7
2013,54750,270148.9,188165.1,111778.9,241081.2,282533.9,2220867.6,450771.8,784090.1,59157.1,724616.4,59830.6,74277.5,140505.6,156636.6,303919.5,179390,226615.9,52505,444865.8,334939,424319.9,300633.1,99622.4,271902.1,42433.8,105038.2,68800.2,523334.2,86506,128272.7,445361.4,52530.8,1319298.5,550800,177601.6,175805.1,651318.9,52084.6,178940.4,43602.2,286801.4,1472103.5,131901.8,28498.6,446559.7,411140.6,276189.5,70158.7,38503.9
2014,53273,273677.1,186849,112932.1,237784.3,295698.6,2312540.1,465646,805278,63499.5,735035.6,61394.5,74529.3,143425.4,165088.1,313740.5,179989.2,233675.8,53418,453884.2,338734,431510.9,309239.2,100118.3,273170.5,43173.7,107166.2,69544.7,525728.5,89275.2,129999.9,455046.2,56522.9,1349268.1,571911.6,187739.1,181861,666494.4,52134.2,183561.9,44153,291687.6,1523057.2,136081.5,28521.8,445869.2,425762.5,282078.9,69874.1,38717.6
2015,53798.7,280229.5,189339.1,113860.9,242910.7,309179.6,2428598.4,481575.7,839124.3,65876.1,744517.8,63097.5,77185.4,146173.1,169375,311600.7,181323.1,232457.6,53780.5,471135.3,345230.2,442481.8,313086.2,100242.5,276700.4,44871.4,110325.7,71511.1,535299.2,91200.8,135429.2,469478.8,54901.6,1372162.8,580414.1,195902.1,191999,681234.6,53096.5,189899.8,45442.6,301587.2,1596361.9,141703.3,28906.5,454952.9,444318.5,287164.3,69761.1,39723
2016,52710.7,289230.4,190703,114541.2,242793.9,316751.8,2500950.4,498266.8,866731,63108.7,747168,65535.3,78905.1,149927.9,168876.4,316635.9,182618.6,228252.5,54971,478961,356817.6,452268.8,319129.9,100656.5,275500.5,44265.4,110812,72815.6,539942.8,91268.3,139295.5,475339,51036.3,1389680.6,585088.9,190109.7,200948.2,689844.4,53090.7,195459.6,45685.5,308031.6,1600260.2,147414,29362.9,456676.4,459754.3,290750.2,68901.2,38052.9
2017,52727.4,299405.7,193023.9,115346.7,243682.5,329573.7,2610682.3,516593.9,896117,62740.1,753638,67818.2,80715.8,151465.7,168434.5,322745.6,184540.9,231373.1,56189.3,490839.8,360030.1,459129.1,325322.7,101515.7,278191.9,45029.2,113110.4,74118.8,543530.1,91343.6,143733.4,485498.6,51014.7,1418942,594315.2,191544.2,208625.8,693675.6,52989.3,201872.6,45618.9,313837.2,1646264.3,153129.1,29406.6,464792.9,483773.4,294657.1,69903.9,37997.1
2018,53092.4,311705.6,198435.9,117293.8,244925.7,341076.7,2721651,528998.9,924873.3,62764.7,769800.6,70500.4,82651.9,154582.7,172072,329298.8,187215.5,237372.2,57450.4,506072.8,368860.2,470529.2,333919.5,102837.4,284924.1,46219.7,114170,75833.2,555755.1,93604.6,149779.9,497331.3,52873,1435636.2,605394.6,196524.6,216561.5,711822.2,53624.9,207202.6,46490.5,323674.9,1712764,158799.7,29750.3,477005.7,511672.4,301622.7,71481.4,38040
